gwcode,year,igo_n,igo_total,igo_p
373,2005,49,324,0.15123456790123457
375,1995,97,323,0.30030959752321984
375,1996,101,325,0.31076923076923074
375,1997,100,328,0.3048780487804878
375,1998,104,337,0.3086053412462908
375,1999,102,330,0.3090909090909091
375,2000,99,330,0.3
375,2001,99,323,0.3065015479876161
375,2002,100,327,0.3058103975535168
375,2003,100,327,0.3058103975535168
375,2004,100,327,0.3058103975535168
375,2005,102,324,0.3148148148148148
380,1995,103,323,0.3188854489164087
380,1996,104,325,0.32
380,1997,103,328,0.31402439024390244
380,1998,108,337,0.32047477744807124
380,1999,104,330,0.3151515151515151
380,2000,100,330,0.30303030303030304
380,2001,100,323,0.30959752321981426
380,2002,100,327,0.3058103975535168
380,2003,100,327,0.3058103975535168
380,2004,101,327,0.308868501529052
380,2005,101,324,0.3117283950617284
385,1995,100,323,0.30959752321981426
385,1996,100,325,0.3076923076923077
385,1997,99,328,0.3018292682926829
385,1998,104,337,0.3086053412462908
385,1999,102,330,0.3090909090909091
385,2000,98,330,0.296969696969697
385,2001,99,323,0.3065015479876161
385,2002,101,327,0.308868501529052
385,2003,102,327,0.3119266055045872
385,2004,101,327,0.308868501529052
385,2005,101,324,0.3117283950617284
390,1995,103,323,0.3188854489164087
390,1996,101,325,0.31076923076923074
390,1997,101,328,0.3079268292682927
390,1998,106,337,0.314540059347181
390,1999,103,330,0.31212121212121213
390,2000,99,330,0.3
390,2001,99,323,0.3065015479876161
390,2002,99,327,0.30275229357798167
390,2003,99,327,0.30275229357798167
390,2004,102,327,0.3119266055045872
390,2005,102,324,0.3148148148148148
404,1995,47,323,0.14551083591331268
404,1996,47,325,0.14461538461538462
404,1997,48,328,0.14634146341463414
404,1998,51,337,0.1513353115727003
404,1999,51,330,0.15454545454545454
404,2000,51,330,0.15454545454545454
404,2001,52,323,0.1609907120743034
404,2002,55,327,0.16819571865443425
404,2003,53,327,0.1620795107033639
404,2004,54,327,0.1651376146788991
404,2005,56,324,0.1728395061728395
420,1995,53,323,0.16408668730650156
420,1996,53,325,0.16307692307692306
420,1997,56,328,0.17073170731707318
420,1998,56,337,0.1661721068249258
420,1999,58,330,0.17575757575757575
420,2000,59,330,0.1787878787878788
420,2001,57,323,0.17647058823529413
420,2002,64,327,0.19571865443425077
420,2003,60,327,0.1834862385321101
420,2004,62,327,0.18960244648318042
420,2005,62,324,0.19135802469135801
432,1995,71,323,0.21981424148606812
432,1996,71,325,0.21846153846153846
432,1997,71,328,0.21646341463414634
432,1998,73,337,0.2166172106824926
432,1999,73,330,0.22121212121212122
432,2000,74,330,0.22424242424242424
432,2001,72,323,0.22291021671826625
432,2002,75,327,0.22935779816513763
432,2003,74,327,0.22629969418960244
432,2004,76,327,0.2324159021406728
432,2005,75,324,0.23148148148148148
433,1995,83,323,0.25696594427244585
433,1996,83,325,0.2553846153846154
433,1997,84,328,0.25609756097560976
433,1998,83,337,0.24629080118694363
433,1999,84,330,0.2545454545454545
433,2000,84,330,0.2545454545454545
433,2001,80,323,0.2476780185758514
433,2002,84,327,0.25688073394495414
433,2003,82,327,0.25076452599388377
433,2004,83,327,0.25382262996941896
433,2005,81,324,0.25
434,1995,72,323,0.22291021671826625
434,1996,71,325,0.21846153846153846
434,1997,70,328,0.21341463414634146
434,1998,73,337,0.2166172106824926
434,1999,72,330,0.21818181818181817
434,2000,73,330,0.22121212121212122
434,2001,72,323,0.22291021671826625
434,2002,76,327,0.2324159021406728
434,2003,74,327,0.22629969418960244
434,2004,76,327,0.2324159021406728
434,2005,75,324,0.23148148148148148
435,1995,77,323,0.23839009287925697
435,1996,77,325,0.23692307692307693
435,1997,77,328,0.2347560975609756
435,1998,78,337,0.2314540059347181
435,1999,77,330,0.23333333333333334
435,2000,78,330,0.23636363636363636
435,2001,75,323,0.23219814241486067
435,2002,79,327,0.2415902140672783
435,2003,75,327,0.22935779816513763
435,2004,78,327,0.23853211009174313
435,2005,77,324,0.23765432098765432
436,1995,69,323,0.21362229102167182
436,1996,69,325,0.2123076923076923
436,1997,68,328,0.2073170731707317
436,1998,68,337,0.20178041543026706
436,1999,68,330,0.20606060606060606
436,2000,68,330,0.20606060606060606
436,2001,67,323,0.20743034055727555
436,2002,70,327,0.21406727828746178
436,2003,69,327,0.21100917431192662
436,2004,70,327,0.21406727828746178
436,2005,69,324,0.21296296296296297
437,1995,83,323,0.25696594427244585
437,1996,83,325,0.2553846153846154
437,1997,83,328,0.2530487804878049
437,1998,83,337,0.24629080118694363
437,1999,83,330,0.2515151515151515
437,2000,83,330,0.2515151515151515
437,2001,80,323,0.2476780185758514
437,2002,82,327,0.25076452599388377
437,2003,79,327,0.2415902140672783
437,2004,82,327,0.25076452599388377
437,2005,79,324,0.24382716049382716
438,1995,64,323,0.19814241486068113
438,1996,63,325,0.19384615384615383
438,1997,65,328,0.19817073170731708
438,1998,66,337,0.19584569732937684
438,1999,66,330,0.2
438,2000,69,330,0.20909090909090908
438,2001,68,323,0.21052631578947367
438,2002,71,327,0.21712538226299694
438,2003,70,327,0.21406727828746178
438,2004,73,327,0.22324159021406728
438,2005,71,324,0.2191358024691358
439,1995,73,323,0.2260061919504644
439,1996,72,325,0.22153846153846155
439,1997,72,328,0.21951219512195122
439,1998,73,337,0.2166172106824926
439,1999,73,330,0.22121212121212122
439,2000,74,330,0.22424242424242424
439,2001,72,323,0.22291021671826625
439,2002,76,327,0.2324159021406728
439,2003,73,327,0.22324159021406728
439,2004,75,327,0.22935779816513763
439,2005,74,324,0.22839506172839505
450,1995,49,323,0.15170278637770898
450,1996,50,325,0.15384615384615385
450,1997,50,328,0.1524390243902439
450,1998,50,337,0.14836795252225518
450,1999,49,330,0.1484848484848485
450,2000,51,330,0.15454545454545454
450,2001,50,323,0.15479876160990713
450,2002,52,327,0.15902140672782875
450,2003,51,327,0.1559633027522936
450,2004,52,327,0.15902140672782875
450,2005,51,324,0.1574074074074074
451,1995,57,323,0.17647058823529413
451,1996,55,325,0.16923076923076924
451,1997,58,328,0.17682926829268292
451,1998,58,337,0.17210682492581603
451,1999,57,330,0.17272727272727273
451,2000,57,330,0.17272727272727273
451,2001,56,323,0.17337461300309598
451,2002,62,327,0.18960244648318042
451,2003,60,327,0.1834862385321101
451,2004,59,327,0.18042813455657492
451,2005,59,324,0.18209876543209877
452,1995,69,323,0.21362229102167182
452,1996,68,325,0.20923076923076922
452,1997,71,328,0.21646341463414634
452,1998,69,337,0.20474777448071216
