gwcode,year,hro_n,hro_secloc
705,1996,11.5,NA
705,1997,16,NA
705,1998,17.5,NA
705,1999,19,NA
705,2000,19,NA
705,2001,18.3333333333333,NA
705,2002,17.6666666666667,NA
705,2003,17,NA
705,2004,NA,NA
705,2005,NA,NA
710,1995,26,0
710,1996,28,0
710,1997,30,0
710,1998,29.5,0
710,1999,29,0
710,2000,31,0
710,2001,31,0
710,2002,31,0
710,2003,31,0
710,2004,NA,0
710,2005,NA,0
712,1995,18,NA
712,1996,18,NA
712,1997,18,NA
712,1998,16.5,NA
712,1999,15,NA
712,2000,20,NA
712,2001,20.3333333333334,NA
712,2002,20.6666666666666,NA
712,2003,21,NA
712,2004,NA,NA
712,2005,NA,NA
731,1995,8,NA
731,1996,8.5,NA
731,1997,9,NA
731,1998,7.5,NA
731,1999,6,NA
731,2000,8,NA
731,2001,8.33333333333337,NA
731,2002,8.66666666666663,NA
731,2003,9,NA
731,2004,NA,NA
731,2005,NA,NA
732,1995,NA,0
732,1996,NA,0
732,1997,NA,0
732,1998,NA,0
732,1999,NA,0
732,2000,NA,0
732,2001,NA,0
732,2002,NA,0
732,2003,NA,0
732,2004,NA,0
732,2005,NA,0
740,1995,58,5
740,1996,63,5
740,1997,68,5
740,1998,65,5
740,1999,62,5
740,2000,69,5
740,2001,68.6666666666666,5
740,2002,68.3333333333334,5
740,2003,NA,NA
740,2004,NA,5
740,2005,NA,5
750,1995,68,7
750,1996,72,7
750,1997,76,7
750,1998,74,7
750,1999,72,7
750,2000,79,7
750,2001,81.666666666667,7
750,2002,84.333333333333,7
750,2003,87,7
750,2004,NA,7
750,2005,NA,7
770,1995,42,0
770,1996,45.5,0
770,1997,49,0
770,1998,50.5,0
770,1999,52,0
770,2000,51,0
770,2001,51.3333333333334,0
770,2002,51.6666666666666,0
770,2003,52,0
770,2004,NA,0
770,2005,NA,0
771,1995,37,1
771,1996,42.5,1
771,1997,48,1
771,1998,46.5,1
771,1999,45,1
771,2000,49,1
771,2001,49,1
771,2002,49,1
771,2003,49,1
771,2004,NA,1
771,2005,NA,1
775,1995,11,NA
775,1996,11.5,NA
775,1997,12,NA
775,1998,9.5,NA
775,1999,7,NA
775,2000,13,NA
775,2001,13.3333333333334,NA
775,2002,13.6666666666666,NA
775,2003,NA,NA
775,2004,NA,NA
775,2005,NA,NA
780,1995,47,1
780,1996,51.5,1
780,1997,56,1
780,1998,55,1
780,1999,54,1
780,2000,55,1
780,2001,55.6666666666667,1
780,2002,56.3333333333333,1
780,2003,57,1
780,2004,NA,1
780,2005,NA,1
790,1995,31,2
790,1996,36,2
790,1997,41,2
790,1998,39,2
790,1999,37,2
790,2000,43,2
790,2001,43.3333333333334,2
790,2002,43.6666666666666,2
790,2003,44,2
790,2004,NA,2
790,2005,NA,2
800,1995,41,0
800,1996,44,1
800,1997,47,1
800,1998,47.5,1
800,1999,48,1
800,2000,55,1
800,2001,55.3333333333334,1
800,2002,55.6666666666666,1
800,2003,56,1
800,2004,NA,1
800,2005,NA,1
811,1995,12,NA
811,1996,13.5,NA
811,1997,15,NA
811,1998,15,NA
811,1999,15,NA
811,2000,20,NA
811,2001,20.3333333333334,NA
811,2002,20.6666666666666,NA
811,2003,21,NA
811,2004,NA,NA
811,2005,NA,NA
812,1995,NA,NA
812,1996,NA,NA
812,1997,NA,NA
812,1998,NA,NA
812,1999,NA,NA
812,2000,NA,NA
812,2001,NA,NA
812,2002,NA,NA
812,2003,NA,NA
812,2004,NA,NA
812,2005,NA,NA
816,1995,NA,NA
816,1996,NA,NA
816,1997,NA,NA
816,1998,NA,NA
816,1999,NA,NA
816,2000,NA,NA
816,2001,NA,NA
816,2002,NA,NA
816,2003,NA,NA
816,2004,NA,NA
816,2005,NA,NA
820,1995,36,2
820,1996,41,2
820,1997,46,2
820,1998,46,2
820,1999,46,2
