gwcode,year,SP.DYN.IMRT.IN
620,1978,62.4
625,1978,90.8
630,1978,88.2
640,1978,97.4
645,1978,58.6
651,1978,125.7
652,1978,51.3
660,1978,42.3
663,1978,46.9
666,1978,17.2
670,1978,79.4
678,1978,154.8
680,1978,NA
690,1978,33.9
692,1978,30.5
694,1978,32.4
696,1978,35
698,1978,93.2
700,1978,172
710,1978,53
712,1978,119
713,1978,NA
731,1978,NA
732,1978,32.8
740,1978,8.3
750,1978,120.7
760,1978,141.1
770,1978,127.2
771,1978,139
775,1978,102
780,1978,44.3
781,1978,118.1
790,1978,147.8
800,1978,51.2
811,1978,141.4
812,1978,141
816,1978,48.3
820,1978,29.2
830,1978,12.3
840,1978,54.2
850,1978,89.7
900,1978,11.9
910,1978,80.1
920,1978,13.6
940,1978,45.7
950,1978,38.4
54,1978,17.4
55,1978,NA
221,1978,NA
223,1978,NA
331,1978,NA
232,1978,NA
403,1978,57.9
591,1978,30.6
971,1978,NA
972,1978,NA
973,1978,NA
990,1978,NA
2,1979,13.2
20,1979,11
31,1979,25.7
40,1979,17.5
41,1979,131.1
42,1979,65.7
51,1979,33.5
52,1979,35.1
53,1979,25.2
70,1979,57.6
90,1979,90.7
91,1979,71.8
92,1979,82.5
93,1979,82.4
94,1979,21.4
95,1979,36.4
100,1979,47.2
101,1979,36.8
110,1979,53.3
115,1979,NA
130,1979,70.4
135,1979,84.3
140,1979,80.2
145,1979,114.5
150,1979,50.9
155,1979,31.4
160,1979,40.5
165,1979,39.4
200,1979,12.7
205,1979,13
210,1979,9
211,1979,12.8
212,1979,11.7
220,1979,10.5
225,1979,8.7
230,1979,13.5
235,1979,24.6
260,1979,NA
265,1979,NA
290,1979,21.7
305,1979,14.6
310,1979,22.6
315,1979,NA
325,1979,15.1
338,1979,15.7
339,1979,68
345,1979,NA
350,1979,18.7
352,1979,20.8
355,1979,20.6
360,1979,29.4
365,1979,23.6
375,1979,7.6
380,1979,7.4
385,1979,8.4
390,1979,8.5
395,1979,8.2
402,1979,67.2
404,1979,NA
411,1979,NA
